3,"t","Honey: Released February 26, 2010, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
3,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
3,"t","and Value by State and United States, 2009 1/"
3,"h","","","","","","",""
3,"h","","Honey","Yield","","","Average","Value"
3,"h","State","Producing","per","Production","Stocks","Price per","of"
3,"h","","Colonies 2/","Colony","","Dec 15 3/","Pound 4/","Production 5/"
3,"h","","","","","","",""
3,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
3,"d","AL",9,49,441,66,182,803
3,"d","AZ",20,52,1040,562,153,1591
3,"d","AR",24,57,1368,301,139,1902
3,"d","CA",355,33,11715,2109,139,16284
3,"d","CO",28,53,1484,326,140,2078
3,"d","FL",150,68,10200,1428,138,14076
3,"d","GA",65,41,2665,346,147,3918
3,"d","HI",10,95,950,323,163,1549
3,"d","ID",103,46,4738,1706,145,6870
3,"d","IL",8,34,272,57,226,615
3,"d","IN",9,32,288,101,198,570
3,"d","IA",26,42,1092,339,151,1649
3,"d","KS",9,63,567,164,189,1072
3,"d","KY",5,35,175,25,273,478
3,"d","LA",37,103,3811,610,132,5031
3,"d","ME",6,50,300,51,186,558
3,"d","MI",66,60,3960,1505,151,5980
3,"d","MN",122,65,7930,1427,140,11102
3,"d","MS",14,104,1456,87,132,1922
3,"d","MO",11,47,517,57,198,1024
3,"d","MT",146,70,10220,3577,145,14819
3,"d","NE",48,56,2688,1102,144,3871
3,"d","NV",10,52,520,57,129,671
3,"d","NJ",9,32,288,46,193,556
3,"d","NM",7,60,420,143,163,685
3,"d","NY",47,65,3055,978,183,5591
3,"d","NC",11,45,495,84,252,1247
3,"d","ND",450,77,34650,7623,137,47471
3,"d","OH",11,50,550,132,275,1513
3,"d","OR",55,34,1870,767,149,2786
3,"d","PA",21,40,840,319,199,1672
3,"d","SD",270,66,17820,6237,139,24770
3,"d","TN",7,51,357,86,235,839
3,"d","TX",74,63,4662,886,138,6434
3,"d","UT",26,38,988,198,147,1452
3,"d","VT",5,49,245,69,236,578
3,"d","VA",6,39,234,56,328,768
3,"d","WA",62,44,2728,1064,149,4065
3,"d","WV",5,37,185,33,267,494
3,"d","WI",63,60,3780,1588,151,5708
3,"d","WY",37,48,1776,391,143,2540
3,"d","",,,,,,
3,"d","Oth",,,,,,
3,"d"," Sts 6/ 7/",15,51,768,127,280,2150
3,"d","",,,,,,
3,"d","US 7/ 8/",2462,58.5,144108,37153,144.5,208236
3,"c",""
3,"f","1/  For producers with 5 or more colonies.  Colonies which produced honey in more than one State were counted in each State."
3,"f","2/  Honey producing colonies are the maximum number of colonies from which honey was taken during the year.  It is possible to take honey from colonies which did not survive the entire year."
3,"f","3/  Stocks held by producers."
3,"f","4/  Average price per pound based on expanded sales."
3,"f","5/  Value of production is equal to production multiplied by average price per pound."
3,"f","6/  CT, DE, MD, MA, NH, OK, RI, and SC not published separately to avoid disclosing data for individual operations."
3,"f","7/  Due to rounding, total colonies multiplied by total yield may not exactly equal production."
3,"f","8/  Summation of States will not equal U.S. level value of production."
