3,"t","Honey: Released February 28, 2002, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
3,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
3,"t","and Value by State and United States, 2001 1/"
3,"h","","","","","","",""
3,"h","","Honey","Yield","","","Average","Value"
3,"h","State","Producing","per","Production","Stocks","Price per","of"
3,"h","","Colonies","Colony","","Dec 15 2/","Pound 3/","Production"
3,"h","","","","","","",""
3,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
3,"d","AL",14,73,1022,235,71,726
3,"d","AZ",43,59,2537,1142,78,1979
3,"d","AR",58,98,5655,1872,66,3732
3,"d","CA",425,65,27625,7735,67,18509
3,"d","CO",26,55,1430,529,70,1001
3,"d","FL",220,100,22000,3432,62,13640
3,"d","GA",55,57,3135,188,70,2195
3,"d","HI",8,87,696,84,85,592
3,"d","ID",100,46,4600,1610,66,3036
3,"d","IL",6,76,456,251,172,784
3,"d","IN",8,76,608,213,86,523
3,"d","IA",33,51,1683,875,73,1229
3,"d","KS",13,51,663,530,85,564
3,"d","KY",3,78,234,94,131,307
3,"d","LA",45,106,4770,572,60,2862
3,"d","ME",11,20,220,106,70,154
3,"d","MD",4,46,184,55,172,316
3,"d","MI",76,60,4560,2827,78,3557
3,"d","MN",135,81,10935,1859,63,6889
3,"d","MS",17,66,1122,224,60,673
3,"d","MO",25,61,1525,381,68,1037
3,"d","MT",136,102,13872,4578,65,9017
3,"d","NE",43,48,2064,1115,66,1362
3,"d","NV",11,50,550,44,201,1106
3,"d","NJ",11,34,374,71,82,307
3,"d","NM",15,70,1050,525,65,683
3,"d","NY",53,70,3710,1781,68,2523
3,"d","NC",11,44,484,145,158,765
3,"d","ND",280,96,26880,9408,65,17472
3,"d","OH",16,81,1296,505,85,1102
3,"d","OK",4,47,188,105,141,265
3,"d","OR",44,44,1936,1200,69,1336
3,"d","PA",17,57,969,514,87,843
3,"d","SD",235,65,15275,12220,64,9776
3,"d","TN",9,59,531,147,137,727
3,"d","TX",97,79,7663,1533,64,4904
3,"d","UT",23,38,874,315,65,568
3,"d","VT",7,81,567,249,91,516
3,"d","VA",9,52,468,94,117,548
3,"d","WA",42,52,2184,917,67,1463
3,"d","WV",7,65,455,410,155,705
3,"d","WI",67,81,5427,3419,76,4125
3,"d","WY",38,77,2926,468,63,1843
3,"d","",,,,,,
3,"d","Oth",,,,,,
3,"d"," Sts 4/ 5/",13,40,523,173,153,799
3,"d","",,,,,,
3,"d","US 5/",2513,74.0,185926,64750,66.9,127060
3,"c",""
3,"f","1/  For producers with 5 or more colonies.  Colonies which produced honey in more than one State were counted in each State.  2/  Stocks held by producers.   3/  Prices weighted by sales.  4/  CT, DE, MA, NH, RI and SC not published separately to avoid disclosing data for individual operations.  5/  Total colonies multiplied by total yield may not exactly equal production."
