3,"t","Honey: Released February 28, 2007, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
3,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
3,"t","and Value by State and United States, 2006 1/"
3,"h","","","","","","",""
3,"h","","Honey","Yield","","","Average","Value"
3,"h","State","Producing","per","Production","Stocks","Price per","of"
3,"h","","Colonies","Colony","","Dec 15 2/","Pound 3/","Production"
3,"h","","","","","","",""
3,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
3,"d","AL",11,72,792,230,146,1156
3,"d","AZ",30,65,1950,839,139,2711
3,"d","AR",32,76,2432,730,105,2554
3,"d","CA",380,52,19760,7706,98,19365
3,"d","CO",36,75,2700,1458,139,3753
3,"d","FL",170,81,13770,1790,101,13908
3,"d","GA",63,74,4662,746,116,5408
3,"d","HI",10,93,930,233,119,1107
3,"d","ID",95,44,4180,2592,86,3595
3,"d","IL",10,66,660,356,188,1241
3,"d","IN",6,54,324,107,151,489
3,"d","IA",26,84,2184,1441,115,2512
3,"d","KS",14,55,770,246,140,1078
3,"d","KY",5,56,280,70,220,616
3,"d","LA",30,90,2700,675,89,2403
3,"d","ME",11,23,253,86,200,506
3,"d","MI",72,55,3960,2099,128,5069
3,"d","MN",125,80,10000,3300,89,8900
3,"d","MS",14,98,1372,453,105,1441
3,"d","MO",15,46,690,117,149,1028
3,"d","MT",132,79,10428,1981,100,10428
3,"d","NE",47,73,3431,3843,104,3568
3,"d","NV",9,37,333,50,355,1182
3,"d","NJ",9,36,324,152,115,373
3,"d","NM",7,48,336,104,96,323
3,"d","NY",60,64,3840,2458,138,5299
3,"d","NC",10,50,500,215,156,780
3,"d","ND",350,74,25900,7770,90,23310
3,"d","OH",14,56,784,282,145,1137
3,"d","OR",46,48,2208,729,111,2451
3,"d","PA",28,40,1120,605,161,1803
3,"d","SD",225,47,10575,10575,82,8672
3,"d","TN",7,55,385,58,184,708
3,"d","TX",82,70,5740,976,87,4994
3,"d","UT",23,50,1150,265,105,1208
3,"d","VT",6,56,336,144,121,407
3,"d","VA",8,42,336,114,219,736
3,"d","WA",49,52,2548,1605,119,3032
3,"d","WV",5,42,210,57,195,410
3,"d","WI",64,93,5952,2500,114,6785
3,"d","WY",39,85,3315,497,88,2917
3,"d","",,,,,,
3,"d","Oth",,,,,,
3,"d"," Sts 4/ 5/",17,43,726,274,269,1951
3,"d","",,,,,,
3,"d","US 5/",2392,64.7,154846,60528,104.2,161314
3,"c",""
3,"f","1/  For producers with 5 or more colonies.  Colonies which produced honey in more than one State were counted in each State."
3,"f","2/  Stocks held by producers."
3,"f","3/  Prices weighted by sales."
3,"f","4/  CT, DE, MD, MA, NH, OK, RI, and SC not published separately to avoid disclosing data for individual operations."
3,"f","5/  Due to rounding, total colonies multiplied by total yield may not exactly equal production."
