16,"t","Honey: Released March 22, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
16,"t","Apiary Workers – United States: 2015 and 2016"
16,"t","[Operations that qualify as a farm. Represents number of paid and unpaid workers that worked with colonies, regardless of whether honey was harvested. For more estimates on the total number of colonies, see the "Honey Bee Colonies" report]"
16,"h","","",""
16,"h","United States","Apiary workers","Apiary workers"
16,"h","","",""
16,"h","","2015","2016"
16,"h","","",""
16,"u","","(workers)","(workers)"
16,"d","  5 or more colonies",23000,24000
16,"d","  Less than 5 colonies",19000,19000
16,"c",""
