2,"t","Honey: Released February 28, 2003, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
2,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
2,"t","and Value by State and United States, 2001 1/"
2,"h","","","","","","",""
2,"h","","Honey","Yield","","","Average","Value"
2,"h","State","Producing","per","Production","Stocks","Price per","of"
2,"h","","Colonies","Colony","","Dec 15 2/","Pound 3/","Production"
2,"h","","","","","","",""
2,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
2,"d","AL",14,73,1022,235,72,736
2,"d","AZ",43,59,2537,1142,72,1827
2,"d","AR",58,98,5684,1876,65,3695
2,"d","CA",425,65,27625,7735,69,19061
2,"d","CO",26,55,1430,529,71,1015
2,"d","FL",220,100,22000,3432,64,14080
2,"d","GA",55,57,3135,188,70,2195
2,"d","HI",8,87,696,84,87,606
2,"d","ID",100,46,4600,1610,67,3082
2,"d","IL",6,76,456,251,158,720
2,"d","IN",7,76,532,186,92,489
2,"d","IA",33,51,1683,875,75,1262
2,"d","KS",13,51,663,530,96,636
2,"d","KY",3,78,234,94,141,330
2,"d","LA",45,106,4770,572,60,2862
2,"d","ME",11,20,220,106,79,174
2,"d","MD",4,46,184,55,160,294
2,"d","MI",76,60,4560,2827,81,3694
2,"d","MN",135,81,10935,1859,65,7108
2,"d","MS",17,66,1122,224,89,999
2,"d","MO",25,61,1525,381,71,1083
2,"d","MT",136,102,13872,4578,67,9294
2,"d","NE",43,48,2064,1115,72,1486
2,"d","NV",9,50,450,36,214,963
2,"d","NJ",11,34,374,71,85,318
2,"d","NM",10,70,700,350,66,462
2,"d","NY",53,70,3710,1781,79,2931
2,"d","NC",13,44,572,172,148,847
2,"d","ND",280,96,26880,9408,69,18547
2,"d","OH",16,81,1296,505,101,1309
2,"d","OK",4,47,188,105,143,269
2,"d","OR",44,44,1936,1200,74,1433
2,"d","PA",17,57,969,514,92,891
2,"d","SC",7,40,280,67,79,221
2,"d","SD",235,65,15275,12220,71,10845
2,"d","TN",8,59,472,131,139,656
2,"d","TX",97,79,7663,1533,65,4981
2,"d","UT",23,38,874,315,65,568
2,"d","VT",7,81,567,249,92,522
2,"d","VA",9,52,468,94,126,590
2,"d","WA",42,52,2184,917,72,1572
2,"d","WV",7,65,455,410,142,646
2,"d","WI",67,81,5427,3419,82,4450
2,"d","WY",38,77,2926,468,65,1902
2,"d","",,,,,,
2,"d","Oth",,,,,,
2,"d"," Sts 4/ 5/",6,41,246,107,233,574
2,"d","",,,,,,
2,"d","US 5/",2506,74.0,185461,64556,70.4,132225
2,"c",""
2,"f","1/  For producers with 5 or more colonies.  Colonies which produced honey in more than one State were counted in each State.  2/  Stocks held by producers.   3/  Prices weighted by sales.  4/  CT, DE, MA, NH, and RI not published separately to avoid disclosing data for individual operations.  5/  Total colonies multiplied by total yield may not exactly equal production."
