21,"t","Honey: Released March 14, 2018, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
21,"t","Number of Colonies, Yield, and Production – United States: 2016 and 2017"
21,"t","[Operations with less than 5 colonies that also qualify as a farm]"
21,"h","","","","","","",""
21,"h","","Honey","Honey","Yield","Yield","",""
21,"h","State","producing","producing","per","per","Production","Production"
21,"h","","colonies 1/","colonies 1/","colony","colony","",""
21,"h","","","","","","",""
21,"h","","2016","2017","2016","2017","2016","2017"
21,"h","","","","","","",""
21,"u","","(1,000)","(1,000)","(pounds)","(pounds)","(1,000 pounds)","(1,000 pounds)"
21,"d","United States 2/",24,20,31.9,30.0,766,599
21,"c",""
21,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was harvested during the year. It is possible to harvest honey from colonies which did not survive the entire year."
21,"f","2/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
