3,"t","Honey: Released February 28, 2006, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
3,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
3,"t","and Value by State and United States, 2005 1/"
3,"h","","","","","","",""
3,"h","","Honey","Yield","","","Average","Value"
3,"h","State","Producing","per","Production","Stocks","Price per","of"
3,"h","","Colonies","Colony","","Dec 15 2/","Pound 3/","Production"
3,"h","","","","","","",""
3,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
3,"d","AL",13,66,858,266,128,1098
3,"d","AZ",36,50,1800,720,97,1746
3,"d","AR",36,69,2484,571,95,2360
3,"d","CA",400,75,30000,9300,84,25200
3,"d","CO",26,70,1820,837,104,1893
3,"d","FL",160,86,13760,2477,87,11971
3,"d","GA",59,49,2891,434,84,2428
3,"d","HI",9,131,1179,283,134,1580
3,"d","ID",95,37,3515,1793,80,2812
3,"d","IL",8,85,680,408,162,1102
3,"d","IN",8,64,512,189,119,609
3,"d","IA",28,88,2464,1232,98,2415
3,"d","KS",16,50,800,328,124,992
3,"d","KY",5,50,250,40,212,530
3,"d","LA",35,97,3395,611,71,2410
3,"d","ME",8,26,208,193,187,389
3,"d","MI",65,68,4420,2519,99,4376
3,"d","MN",120,74,8880,1598,83,7370
3,"d","MS",16,80,1280,346,66,845
3,"d","MO",15,50,750,180,121,908
3,"d","MT",130,67,8710,3136,80,6968
3,"d","NE",40,68,2720,2530,89,2421
3,"d","NV",12,46,552,442,209,1154
3,"d","NJ",12,32,384,104,118,453
3,"d","NM",7,49,343,113,102,350
3,"d","NY",60,73,4380,2321,122,5344
3,"d","NC",10,54,540,146,194,1048
3,"d","ND",370,91,33670,8418,81,27273
3,"d","OH",15,69,1035,580,141,1459
3,"d","OR",39,42,1638,557,108,1769
3,"d","PA",28,56,1568,800,105,1646
3,"d","SD",220,79,17380,11818,76,13209
3,"d","TN",7,55,385,92,164,631
3,"d","TX",84,71,5964,954,85,5069
3,"d","UT",23,45,1035,331,103,1066
3,"d","VT",6,91,546,169,106,579
3,"d","VA",8,37,296,59,221,654
3,"d","WA",51,55,2805,1935,106,2973
3,"d","WV",8,51,408,102,124,506
3,"d","WI",64,83,5312,2922,114,6056
3,"d","WY",40,56,2240,291,87,1949
3,"d","",,,,,,
3,"d","Oth",,,,,,
3,"d"," Sts 4/ 5/",18,44,786,261,278,2184
3,"d","",,,,,,
3,"d","US 5/",2410,72.5,174643,62406,90.4,157795
3,"c",""
3,"f","1/  For producers with 5 or more colonies.  Colonies which produced honey in more than one State were counted in each State."
3,"f","2/  Stocks held by producers."
3,"f","3/  Prices weighted by sales."
3,"f","4/  CT, DE, MD, MA, NH, OK, RI, and SC not published separately to avoid disclosing data for individual operations."
3,"f","5/  Total colonies multiplied by total yield may not exactly equal production."
